t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz, yaw
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.7857407407408,-251.130925925926,0.0,0.0
0.01,6.371410299246973e-08,-1.0374008614326135e-07,0.0,2.5448501679348147e-05,-4.1405018946544936e-05,0.0,0.007615819910643865,-0.012375753170910497,0.0,1.5155756311192565,-2.456703479745371,0.0,149.23327173782585,-240.06362080761323,0.0,0.0
0.02,1.0133556892089626e-06,-1.6450849714677644e-06,0.0,0.0002020514815523549,-0.0003275221492043897,0.0,0.03015029670850481,-0.048750807847736645,0.0,2.9827973201303166,-4.798448186213993,0.0,144.12036834705083,-228.149046707819,0.0,0.0
0.03,5.098112588281251e-06,-8.251612957812502e-06,0.0,0.0006764857596614585,-0.0010924577245312501,0.0,0.06709241085590281,-0.10793420039236114,0.0,4.396223203993057,-7.0170576927083355,0.0,138.47952673611118,-215.44645625000004,0.0,0.0
0.04,1.6007496416278016e-05,-2.5831079453497954e-05,0.0,0.0015900512835482403,-0.0025580094964060365,0.0,0.11787834899314134,-0.18865616553086426,0.0,5.75073638134431,-9.104948098765435,0.0,132.3432430727024,-202.0151020576132,0.0,0.0
0.05,3.8814988319874926e-05,-6.24444898231203e-05,0.0,0.0030781594381171073,-0.004932908243982555,0.0,0.18189475355527704,-0.28957406161586946,0.0,7.0415449124978595,-11.055128030156897,0.0,125.74401352451994,-187.91423675411528,0.0,0.0
0.06,7.991673030000001e-05,-0.00012817188460000002,0.0,0.0052698538516666674,-0.008412118636666669,0.0,0.258481972388889,-0.409278295888889,0.0,8.264181819444449,-12.861198638888892,0.0,118.71433425925932,-173.20311296296302,0.0,0.0
0.07,0.00014696558707663154,-0.00023497142958751944,0.0,0.008287363698088818,-0.013176199349316922,0.0,0.34693730836884884,-0.5462982497426699,0.0,9.41450508585177,-14.517353603202166,0.0,111.28670144461596,-157.94098330761318,0.0,0.0
0.08,0.00024880090345642445,-0.00039653240337558316,0.0,0.012245689495235489,-0.01939072243006859,0.0,0.4465182690150894,-0.6991082039835393,0.0,10.488697657064476,-16.01837912757202,0.0,103.49361124828536,-142.18710041152266,0.0,0.0
0.09,0.00039537428216484383,-0.0006281226747984376,0.0,0.01725222139945313,-0.02720575192078125,0.0,0.5564458161093753,-0.8661332640937501,0.0,11.483267440104171,-17.359653942708338,0.0,95.36755983796301,-126.00071689814817,0.0,0.0
0.1,0.0005976717071044813,-0.0009464312628600827,0.0,0.023406389996284874,-0.03675538173010975,0.0,0.6759076153120717,-1.0457552854938275,0.0,12.395047303669415,-18.537149305555563,0.0,86.94104338134434,-109.44108539094651,0.0,0.0
0.11,0.0008676323370012303,-0.0013694065716535091,0.0,0.03079934958734037,-0.04815733275919862,0.0,0.8040612857789141,-1.2363187988049127,0.0,13.221195078135722,-19.547428999292702,0.0,78.24655804612486,-92.5674585133745,0.0,0.0
0.12,0.0012180642944000005,-0.0019160908928000002,0.0,0.03951369397333335,-0.06151260928000002,0.0,0.9400376497777783,-1.4361369351111113,0.0,13.959193555555562,-20.38764933333334,0.0,69.31660000000004,-75.4390888888889,0.0,0.0
0.13,0.001662557774971645,-0.0026064517679347298,0.0,0.04962320473328688,-0.07690521456621509,0.0,1.082943982305449,-1.643497351221837,0.0,14.606850489658356,-21.055559143325624,0.0,60.18366541066533,-58.11522914094647,0.0,0.0
0.14,0.002215395802092777,-0.003461210803764886,0.0,0.0611926319999063,-0.09440192577685877,0.0,1.2318672607043901,-1.8566681549341573,0.0,15.162298595850487,-21.54949979115227,0.0,50.88025044581619,-40.655131893004096,0.0,0.0
0.15,0.0028914629516601574,-0.004501670532226563,0.0,0.07427750773111981,-0.11405212809244794,0.0,1.3858774142795145,-2.0739038302951394,0.0,15.623995551215286,-21.868405164930557,0.0,41.43885127314816,-23.118049768518517,0.0,0.0
0.16,0.003706152372101328,-0.005749539908266667,0.0,0.08892399147778696,-0.13588770810381348,0.0,1.544030573914953,-2.293451162864198,0.0,15.990723994513036,-22.01180167901235,0.0,31.891964060356656,-5.56323539094646,0.0,0.0
0.17,0.004675271424543159,-0.007226759037776032,0.0,0.10516874864757447,-0.15992300645353508,0.0,1.705372321690823,-2.5135551649754384,0.0,16.261591526180993,-21.97980827398406,0.0,22.272084975137176,11.950058616255177,0.0,0.0
